Generation,Solver,Run,Width,Height,InitInfected,InfProb,RecProb,Seed,Ticks,TotalTimeNs,AvgStepNs,MaxStepNs,MinStepNs
gen8,ForkJoin_Grid_SIR_Solver,1,750,750,5,0.10000,0.05000,123456789,1883,874458800,464396,26233400,189400
gen8,ForkJoin_Grid_SIR_Solver,2,750,750,5,0.10000,0.05000,123456789,1956,517006600,264318,2367400,172000
gen8,ForkJoin_Grid_SIR_Solver,3,750,750,5,0.10000,0.05000,123456789,1879,496440200,264204,12417900,162600
gen8,ForkJoin_Grid_SIR_Solver,4,750,750,5,0.10000,0.05000,123456789,1851,453355800,244924,1268100,161300
gen8,ForkJoin_Grid_SIR_Solver,5,750,750,5,0.10000,0.05000,123456789,1883,506086600,268766,22096500,167200
gen9,ForkJoin_Grid_SIR_Solver,1,1250,1250,5,0.10000,0.05000,123456789,5489,4328803500,788632,55535500,528500
gen9,ForkJoin_Grid_SIR_Solver,2,1250,1250,5,0.10000,0.05000,123456789,5583,4137310400,741055,16848100,555100
gen9,ForkJoin_Grid_SIR_Solver,3,1250,1250,5,0.10000,0.05000,123456789,5519,4049961300,733821,14193300,502400
gen9,ForkJoin_Grid_SIR_Solver,4,1250,1250,5,0.10000,0.05000,123456789,5455,4099141900,751446,14153600,536100
gen9,ForkJoin_Grid_SIR_Solver,5,1250,1250,5,0.10000,0.05000,123456789,5583,4050759500,725552,16527500,476200
