Generation,Solver,Run,Width,Height,InitInfected,InfProb,RecProb,Seed,Ticks,TotalTimeNs,AvgStepNs,MaxStepNs,MinStepNs
gen3,CompletableFuture_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,123456789,2989,5965062500,1995671,13444900,1628400
gen3,CompletableFuture_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,123456789,2989,5987078800,2003037,11492800,1603100
gen4,CompletableFuture_Grid_SIR_Solver,1,1000,1000,5,0.10000,0.05000,123456789,2989,6209997000,2077616,44918900,1472000
gen4,CompletableFuture_Grid_SIR_Solver,2,1000,1000,5,0.10000,0.05000,123456789,2989,5850537900,1957356,7647300,1666900
gen4,CompletableFuture_Grid_SIR_Solver,3,1000,1000,5,0.10000,0.05000,123456789,2989,5990431800,2004159,19233400,1638400
gen4,CompletableFuture_Grid_SIR_Solver,4,1000,1000,5,0.10000,0.05000,123456789,2989,6034262500,2018823,20774300,1640600
gen4,CompletableFuture_Grid_SIR_Solver,5,1000,1000,5,0.10000,0.05000,123456789,2989,6171841800,2064851,15141800,1712900
gen5,CompletableFuture_Grid_SIR_Solver,1,2000,2000,5,0.10000,0.05000,123456789,8020,71314933700,8892136,83352300,6946300
gen5,CompletableFuture_Grid_SIR_Solver,2,2000,2000,5,0.10000,0.05000,123456789,8020,70844204200,8833441,33238600,7775300
gen5,CompletableFuture_Grid_SIR_Solver,3,2000,2000,5,0.10000,0.05000,123456789,8020,71532035600,8919206,41886700,7759900
gen5,CompletableFuture_Grid_SIR_Solver,4,2000,2000,5,0.10000,0.05000,123456789,8020,71414370100,8904534,30838900,7900000
gen5,CompletableFuture_Grid_SIR_Solver,5,2000,2000,5,0.10000,0.05000,123456789,8020,74670925900,9310589,51282000,7876900
gen6,CompletableFuture_Grid_SIR_Solver,1,500,500,5,0.10000,0.05000,123456789,2036,1070413800,525743,14227100,388100
gen6,CompletableFuture_Grid_SIR_Solver,2,500,500,5,0.10000,0.05000,123456789,2036,1235220000,606689,4679600,431200
gen6,CompletableFuture_Grid_SIR_Solver,3,500,500,5,0.10000,0.05000,123456789,2036,1063455300,522325,4147000,437100
gen6,CompletableFuture_Grid_SIR_Solver,4,500,500,5,0.10000,0.05000,123456789,2036,966243900,474579,792800,428200
gen6,CompletableFuture_Grid_SIR_Solver,5,500,500,5,0.10000,0.05000,123456789,2036,1303648900,640299,4364200,438100
gen7,CompletableFuture_Grid_SIR_Solver,1,250,250,5,0.10000,0.05000,123456789,1219,341225700,279922,8805000,129800
gen7,CompletableFuture_Grid_SIR_Solver,2,250,250,5,0.10000,0.05000,123456789,1219,183464600,150504,440000,120900
gen7,CompletableFuture_Grid_SIR_Solver,3,250,250,5,0.10000,0.05000,123456789,1219,185187600,151917,337800,120200
gen7,CompletableFuture_Grid_SIR_Solver,4,250,250,5,0.10000,0.05000,123456789,1219,185114000,151857,391800,119400
gen7,CompletableFuture_Grid_SIR_Solver,5,250,250,5,0.10000,0.05000,123456789,1219,188483900,154621,329200,121100
gen8,CompletableFuture_Grid_SIR_Solver,1,750,750,5,0.10000,0.05000,123456789,2125,2589590600,1218630,28137800,797900
gen8,CompletableFuture_Grid_SIR_Solver,2,750,750,5,0.10000,0.05000,123456789,2125,2490738900,1172112,16789200,936400
gen8,CompletableFuture_Grid_SIR_Solver,3,750,750,5,0.10000,0.05000,123456789,2125,2376333000,1118274,14141700,935200
gen8,CompletableFuture_Grid_SIR_Solver,4,750,750,5,0.10000,0.05000,123456789,2125,2403328000,1130977,21435700,910700
gen8,CompletableFuture_Grid_SIR_Solver,5,750,750,5,0.10000,0.05000,123456789,2125,2570276800,1209542,30479100,947000
gen9,CompletableFuture_Grid_SIR_Solver,1,1250,1250,5,0.10000,0.05000,123456789,5741,20098129000,3500806,62368500,2888300
gen9,CompletableFuture_Grid_SIR_Solver,2,1250,1250,5,0.10000,0.05000,123456789,5741,20306436700,3537090,16269300,2929100
gen9,CompletableFuture_Grid_SIR_Solver,3,1250,1250,5,0.10000,0.05000,123456789,5741,19751747300,3440471,34439100,2805800
gen9,CompletableFuture_Grid_SIR_Solver,4,1250,1250,5,0.10000,0.05000,123456789,5741,19384975500,3376585,25886000,2679000
gen9,CompletableFuture_Grid_SIR_Solver,5,1250,1250,5,0.10000,0.05000,123456789,5741,18651393700,3248805,20991800,2777400
